Gene,Depth,Childindex,Cluster_size,n_gs_genes_in_clust,Score,gold.standard.genes.in.cluster
WDR6,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
NUMA1,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
TNRC6A,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
KAT2A,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
TAS2R14,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
RALGAPA1,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
SLC25A27,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
ZNF471,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
ZNF280D,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
NPHP3,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
ZNF514,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
ZNF662,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
ZNF181,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
ZNF442,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
NR2F2,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
AASS,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
ST13,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
OSBPL9,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
NINL,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
MKX,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
SERHL2,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
EMILIN3,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
ZNF491,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
GK5,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
PM20D2,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
RERGL,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
HOXA3,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
HOXA6,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
HOXA2,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
HOXB4,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
HOXA4,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
CNGB3,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
HOXC5,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
SP9,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
CACNA1D,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
ALX3,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
RAX2,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
CYP1B1,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
SAMD11,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
REM1,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
PTGIS,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
RAI2,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
FAM198A,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
SCARA3,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
EVA1C,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
BOC,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
PIAS3,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
ZFYVE21,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
FAM127B,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
MANBAL,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
LOXL4,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
PARD3B,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
LMAN2L,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
CBY1,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
ATRAID,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
TRMT61A,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
TRIP6,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
LZTS2,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
DDAH2,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
BCL7C,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
RAI1,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
SCAMP4,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
ADCK4,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
TPRA1,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
ZNF282,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
TNRC18,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
PLEKHG3,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
PLXNB2,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
ZNF205,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
TMEM115,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
BCAM,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
WBSCR27,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
PIK3R1,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
MAOB,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
AR,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
TMEM120B,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
SFRP1,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
RNF150,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
RAD51B,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
MEIS2,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
PDGFC,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
SERTAD4,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
WNT5A,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
KCNQ4,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
SMTN,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
MYH11,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
LMOD1,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
PTGFRN,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
PGM5,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
MYL9,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
DSTN,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
PRIMA1,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
NPTN,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
PRUNE2,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
SPOP,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
SLC24A3,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
NPR2,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
ATP2B4,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
TMEM47,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
TAF9B,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
PRKG1,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
LRP12,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
RBFOX2,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
FRMD6,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
TMEM158,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
PPP1R12A,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
KLHL23,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
BAG2,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
RAB23,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
PALLD,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
METTL24,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
PARVA,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
MRGPRF,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
MRVI1,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
KCNMA1,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
TSPAN2,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
ACTN1,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
TAGLN,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
FLNA,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
ACTA2,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
TGFB1I1,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
ILK,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
KCNMB1,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
CNN1,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
CSRP1,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
MYLK,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
VCL,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
FBXL22,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
