Gene,Score,in.gold.standard,gold.standard.genes.in.cluster,Clade
GAS6,0.000255918106206014,No,DNA2|RBBP8,MAMMALIANS
ETS1,0.000255918106206014,No,DNA2|RBBP8,MAMMALIANS
NTRK3,0.000255918106206014,No,DNA2|RBBP8,MAMMALIANS
TMEM229B,0.000255918106206014,No,DNA2|RBBP8,MAMMALIANS
AVPR1A,0.000255918106206014,No,DNA2|RBBP8,MAMMALIANS
IRF8,0.000255918106206014,No,DNA2|RBBP8,MAMMALIANS
TSPEAR,0.000255918106206014,No,DNA2|RBBP8,MAMMALIANS
GPR153,0.000255918106206014,No,DNA2|RBBP8,MAMMALIANS
FBXL18,0.000255918106206014,No,DNA2|RBBP8,MAMMALIANS
NRSN1,0.000255918106206014,No,DNA2|RBBP8,MAMMALIANS
NT5C1A,0.000255918106206014,No,DNA2|RBBP8,MAMMALIANS
ITGA6,0.000255918106206014,No,DNA2|RBBP8,MAMMALIANS
IRF5,0.000255918106206014,No,DNA2|RBBP8,MAMMALIANS
FAM131A,0.000255918106206014,No,DNA2|RBBP8,MAMMALIANS
LDLRAD3,0.000255918106206014,No,DNA2|RBBP8,MAMMALIANS
C3,0.000255918106206014,No,DNA2|RBBP8,MAMMALIANS
ZNF503,0.000255918106206014,No,DNA2|RBBP8,MAMMALIANS
ZNF703,0.000255918106206014,No,DNA2|RBBP8,MAMMALIANS
SEMA7A,0.000255918106206014,No,DNA2|RBBP8,MAMMALIANS
EFEMP2,0.000255918106206014,No,DNA2|RBBP8,MAMMALIANS
LTBP3,0.000255918106206014,No,DNA2|RBBP8,MAMMALIANS
FGF8,0.000255918106206014,No,DNA2|RBBP8,MAMMALIANS
SPOCK2,0.000255918106206014,No,DNA2|RBBP8,MAMMALIANS
FGF17,0.000255918106206014,No,DNA2|RBBP8,MAMMALIANS
GSE1,0.000255918106206014,No,DNA2|RBBP8,MAMMALIANS
ADAMTSL2,0.000255918106206014,No,DNA2|RBBP8,MAMMALIANS
TRAF2,0.000255918106206014,No,DNA2|RBBP8,MAMMALIANS
BAIAP2,0.000255918106206014,No,DNA2|RBBP8,MAMMALIANS
RNF166,0.000255918106206014,No,DNA2|RBBP8,MAMMALIANS
LTBP4,0.000255918106206014,No,DNA2|RBBP8,MAMMALIANS
SDC3,0.000255918106206014,No,DNA2|RBBP8,MAMMALIANS
ASIC3,0.000255918106206014,No,DNA2|RBBP8,MAMMALIANS
PPL,0.000255918106206014,No,DNA2|RBBP8,MAMMALIANS
SEMA6C,0.000255918106206014,No,DNA2|RBBP8,MAMMALIANS
C3orf58,0.000255918106206014,No,DNA2|RBBP8,MAMMALIANS
ERBB2,0.000255918106206014,No,DNA2|RBBP8,MAMMALIANS
TMEM132E,0.000255918106206014,No,DNA2|RBBP8,MAMMALIANS
TMEM151A,0.000255918106206014,No,DNA2|RBBP8,MAMMALIANS
P2RX1,0.000255918106206014,No,DNA2|RBBP8,MAMMALIANS
FBXO41,0.000255918106206014,No,DNA2|RBBP8,MAMMALIANS
GPR162,0.000255918106206014,No,DNA2|RBBP8,MAMMALIANS
ZMYND19,0.000255918106206014,No,DNA2|RBBP8,MAMMALIANS
NTRK1,0.000255918106206014,No,DNA2|RBBP8,MAMMALIANS
IGFBP5,0.000255918106206014,No,DNA2|RBBP8,MAMMALIANS
DLG5,0.000255918106206014,No,DNA2|RBBP8,MAMMALIANS
NGFR,0.000255918106206014,No,DNA2|RBBP8,MAMMALIANS
MMP9,0.000255918106206014,No,DNA2|RBBP8,MAMMALIANS
GPRC5C,0.000255918106206014,No,DNA2|RBBP8,MAMMALIANS
NPTXR,0.000255918106206014,No,DNA2|RBBP8,MAMMALIANS
NPTX1,0.000255918106206014,No,DNA2|RBBP8,MAMMALIANS
C1QL1,0.000255918106206014,No,DNA2|RBBP8,MAMMALIANS
C1QL3,0.000255918106206014,No,DNA2|RBBP8,MAMMALIANS
FGF18,0.000255918106206014,No,DNA2|RBBP8,MAMMALIANS
THBS3,0.000255918106206014,No,DNA2|RBBP8,MAMMALIANS
CACNG1,0.000255918106206014,No,DNA2|RBBP8,MAMMALIANS
ITGA10,0.000255918106206014,No,DNA2|RBBP8,MAMMALIANS
SCHIP1,0.000255918106206014,No,DNA2|RBBP8,MAMMALIANS
CTIF,0.000255918106206014,No,DNA2|RBBP8,MAMMALIANS
TMEM39B,0.000255918106206014,No,DNA2|RBBP8,MAMMALIANS
GRIN2A,0.000255918106206014,No,DNA2|RBBP8,MAMMALIANS
GRIN2B,0.000255918106206014,No,DNA2|RBBP8,MAMMALIANS
ATP6AP1,0.000255918106206014,No,DNA2|RBBP8,MAMMALIANS
ADCYAP1R1,0.000255918106206014,No,DNA2|RBBP8,MAMMALIANS
MMP2,0.000255918106206014,No,DNA2|RBBP8,MAMMALIANS
MGME1,0.000255918106206014,No,DNA2|RBBP8,MAMMALIANS
ELF2,0.000255918106206014,No,DNA2|RBBP8,MAMMALIANS
AFAP1L2,0.000255918106206014,No,DNA2|RBBP8,MAMMALIANS
TCAF1,0.000255918106206014,No,DNA2|RBBP8,MAMMALIANS
PRSS23,0.000255918106206014,No,DNA2|RBBP8,MAMMALIANS
KCNMB4,0.000255918106206014,No,DNA2|RBBP8,MAMMALIANS
CD163L1,0.000255918106206014,No,DNA2|RBBP8,MAMMALIANS
VOPP1,0.000255918106206014,No,DNA2|RBBP8,MAMMALIANS
PLIN3,0.000255918106206014,No,DNA2|RBBP8,MAMMALIANS
C1QTNF1,0.000255918106206014,No,DNA2|RBBP8,MAMMALIANS
C1QTNF6,0.000255918106206014,No,DNA2|RBBP8,MAMMALIANS
MYZAP,0.000255918106206014,No,DNA2|RBBP8,MAMMALIANS
PHACTR3,0.000255918106206014,No,DNA2|RBBP8,MAMMALIANS
ZCCHC24,0.000255918106206014,No,DNA2|RBBP8,MAMMALIANS
GCOM1,0.000255918106206014,No,DNA2|RBBP8,MAMMALIANS
LAMTOR1,0.000255918106206014,No,DNA2|RBBP8,MAMMALIANS
C15orf39,0.000255918106206014,No,DNA2|RBBP8,MAMMALIANS
CNTFR,0.000255918106206014,No,DNA2|RBBP8,MAMMALIANS
CRTAC1,0.000255918106206014,No,DNA2|RBBP8,MAMMALIANS
PSAP,0.000255918106206014,No,DNA2|RBBP8,MAMMALIANS
KIAA0355,0.000255918106206014,No,DNA2|RBBP8,MAMMALIANS
TMEM206,0.000255918106206014,No,DNA2|RBBP8,MAMMALIANS
IGSF21,0.000255918106206014,No,DNA2|RBBP8,MAMMALIANS
TRIM8,0.000255918106206014,No,DNA2|RBBP8,MAMMALIANS
BAMBI,0.000255918106206014,No,DNA2|RBBP8,MAMMALIANS
ZNF827,0.000255918106206014,No,DNA2|RBBP8,MAMMALIANS
GAL3ST3,0.000255918106206014,No,DNA2|RBBP8,MAMMALIANS
PKDCC,0.000255918106206014,No,DNA2|RBBP8,MAMMALIANS
CLN6,0.000255918106206014,No,DNA2|RBBP8,MAMMALIANS
MRC1,0.000255918106206014,No,DNA2|RBBP8,MAMMALIANS
INA,0.000255918106206014,No,DNA2|RBBP8,MAMMALIANS
PROS1,0.000255918106206014,No,DNA2|RBBP8,MAMMALIANS
SGCA,0.000255918106206014,No,DNA2|RBBP8,MAMMALIANS
ST3GAL4,0.000255918106206014,No,DNA2|RBBP8,MAMMALIANS
KIRREL2,0.000255918106206014,No,DNA2|RBBP8,MAMMALIANS
CLDN14,0.000255918106206014,No,DNA2|RBBP8,MAMMALIANS
KLHDC7A,0.000255918106206014,No,DNA2|RBBP8,MAMMALIANS
DRD2,0.000255918106206014,No,DNA2|RBBP8,MAMMALIANS
SERPINH1,0.000255918106206014,No,DNA2|RBBP8,MAMMALIANS
FES,0.000255918106206014,No,DNA2|RBBP8,MAMMALIANS
EFCC1,0.000255918106206014,No,DNA2|RBBP8,MAMMALIANS
TSHZ3,0.000255918106206014,No,DNA2|RBBP8,MAMMALIANS
BHLHE40,0.000255918106206014,No,DNA2|RBBP8,MAMMALIANS
ROM1,0.000255918106206014,No,DNA2|RBBP8,MAMMALIANS
CCM2,0.000255918106206014,No,DNA2|RBBP8,MAMMALIANS
CACNG5,0.000255918106206014,No,DNA2|RBBP8,MAMMALIANS
PIK3R5,0.000255918106206014,No,DNA2|RBBP8,MAMMALIANS
ITGA3,0.000255918106206014,No,DNA2|RBBP8,MAMMALIANS
PSAPL1,0.000255918106206014,No,DNA2|RBBP8,MAMMALIANS
ATXN1,0.000255918106206014,No,DNA2|RBBP8,MAMMALIANS
DEDD2,0.000255918106206014,No,DNA2|RBBP8,MAMMALIANS
ILDR2,0.000255918106206014,No,DNA2|RBBP8,MAMMALIANS
ITGB4,0.000255918106206014,No,DNA2|RBBP8,MAMMALIANS
OLFML2B,0.000255918106206014,No,DNA2|RBBP8,MAMMALIANS
MLC1,0.000255918106206014,No,DNA2|RBBP8,MAMMALIANS
EGFL7,0.000255918106206014,No,DNA2|RBBP8,MAMMALIANS
BRINP1,0.000255918106206014,No,DNA2|RBBP8,MAMMALIANS
ANGPT2,0.000255918106206014,No,DNA2|RBBP8,MAMMALIANS
BBS12,0.000255918106206014,No,DNA2|RBBP8,MAMMALIANS
ATP1B2,0.000255918106206014,No,DNA2|RBBP8,MAMMALIANS
TBX15,0.000255918106206014,No,DNA2|RBBP8,MAMMALIANS
PHAX,0.000255918106206014,No,DNA2|RBBP8,MAMMALIANS
NR0B2,0.000255918106206014,No,DNA2|RBBP8,MAMMALIANS
RASSF2,0.000255918106206014,No,DNA2|RBBP8,MAMMALIANS
SOCS5,0.000255918106206014,No,DNA2|RBBP8,MAMMALIANS
ISM1,0.000255918106206014,No,DNA2|RBBP8,MAMMALIANS
DCT,0.000255918106206014,No,DNA2|RBBP8,MAMMALIANS
BVES,0.000255918106206014,No,DNA2|RBBP8,MAMMALIANS
MXD1,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
ZSWIM4,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
UBTD1,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
CSTB,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
MAL2,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
TOX4,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
ZBTB25,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
CAV3,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
POU4F3,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
MTSS1,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
PTGFRN,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
FZD6,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
TEC,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
RARB,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
BCL7B,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
EHF,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
WNT2,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
ST3GAL1,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
GAL3ST2,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
ORAI3,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
ORAI2,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
FAM69A,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
ORAI1,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
TLCD1,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
CYB561D2,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
SUFU,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
ASIC1,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
SPRYD4,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
ZFYVE27,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
GPR139,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
FAM69B,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
CNR2,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
GIF,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
APBB1,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
ATP4B,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
PODXL2,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
FAM73B,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
SSR2,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
TMEM101,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
SERPINE2,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
WNT3,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
WNT3A,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
ST3GAL2,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
OAZ2,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
P2RX4,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
CALHM3,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
ICAM3,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
ODF2,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
ARPIN,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
INO80E,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
FSD1,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
WDR13,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
TMEM150A,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
SPDEF,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
FBXO44,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
OSTN,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
SH2D3C,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
CNPY3,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
FBXO6,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
SMO,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
IRF1,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
P3H4,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
PDZD7,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
SRPX2,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
VGLL3,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
CBLN1,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
HOXB6,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
TMEM114,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
CDC42BPB,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
GJA1,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
VWC2L,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
TMEM150C,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
UNC5A,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
BRINP2,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
SIAH1,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
SIAH2,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
DFNB59,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
DPY19L1,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
DPY19L2,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
ENSP00000454786.1,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
PCNXL4,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
RASSF10,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
RASSF9,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
CHRFAM7A,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
CHRNA7,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
DRD1,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
GRPR,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
MALL,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
TFAP2B,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
AQP12A,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
AQP12B,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
SLC30A6,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
SLC35G3,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
FGF23,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
PDYN,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
CHST5,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
TEKT3,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
FBXO25,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
OTUD7B,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
FGFR4,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
SOCS1,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
TSC22D1,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
APBB2,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
MCL1,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
SLC19A2,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
HYLS1,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
NAB1,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
NAB2,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
CLDN12,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
NEK9,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
BMP3,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
LYVE1,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
GPR55,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
NOBOX,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
TTC24,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
ODAM,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
TGM7,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
GLP1R,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
L3MBTL2,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
TMEM51,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
STK40,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
FBXO36,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
ZDHHC23,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
LYG2,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
EMP3,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
LYG1,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
OPN5,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
CCR7,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
PCOLCE,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
ITGA2B,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
SERPIND1,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
TMEM147,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
HTR7,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
GPR22,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
LEP,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
ATP1B1,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
CCDC189,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
DNASE2,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
PMEPA1,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
VSIG4,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
EP400NL,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
TMEM204,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
ADPRHL2,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
MBLAC2,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
FAM193B,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
ZNF346,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
C16orf71,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
CLU,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
PROM2,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
CCKAR,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
FAM65B,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
TMEM82,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
FZD4,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
EPCAM,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
NRG3,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
HECA,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
SNCG,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
NKD1,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
NPM1,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
NES,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
PRRT3,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
IRF2BP2,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
FAM134A,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
NR1I2,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
EPHA1,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
ASXL1,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
EPB42,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
RFXAP,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
DCAF12L1,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
DCAF12L2,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
MYADML2,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
WNT9B,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
MDFI,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
PREB,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
C11orf84,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
IL17B,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
VGLL4,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
CRAMP1,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
MACC1,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
SERPINE3,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
ELL,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
SHD,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
FBLN7,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
ELK4,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
ITGB5,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
ICA1,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
HOXC6,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
GJB4,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
TMEM40,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
UBXN10,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
FAM189A1,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
NFRKB,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
PDE6H,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
NUP37,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
CLRN2,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
ACBD3,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
GPHA2,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
ENSP00000489151.1,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
TBX21,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
CRB1,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
RBP3,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
ODF4,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
SAMD9,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
CEP63,0.0003933910306845,No,DNA2|RBBP8,MAMMALIANS
