Gene,Score,in.gold.standard,gold.standard.genes.in.cluster,Clade
CABP4,0.00129282482223659,No,FAAP100|FANCB,MAMMALIANS
CXorf56,0.00129282482223659,No,FAAP100|FANCB,MAMMALIANS
TMED3,0.00129282482223659,No,FAAP100|FANCB,MAMMALIANS
PPP1R3D,0.00129282482223659,No,FAAP100|FANCB,MAMMALIANS
DUPD1,0.00129282482223659,No,FAAP100|FANCB,MAMMALIANS
OAT,0.00129282482223659,No,FAAP100|FANCB,MAMMALIANS
ARCN1,0.00129282482223659,No,FAAP100|FANCB,MAMMALIANS
FAHD1,0.00129282482223659,No,FAAP100|FANCB,MAMMALIANS
CHL1,0.00129282482223659,No,FAAP100|FANCB,MAMMALIANS
ORC1,0.00129282482223659,No,FAAP100|FANCB,MAMMALIANS
CAPN13,0.00129282482223659,No,FAAP100|FANCB,MAMMALIANS
METTL18,0.00129282482223659,No,FAAP100|FANCB,MAMMALIANS
COL10A1,0.00129282482223659,No,FAAP100|FANCB,MAMMALIANS
RFX8,0.00129282482223659,No,FAAP100|FANCB,MAMMALIANS
SLC25A29,0.00129282482223659,No,FAAP100|FANCB,MAMMALIANS
SGF29,0.00129282482223659,No,FAAP100|FANCB,MAMMALIANS
SH3RF3,0.00129282482223659,No,FAAP100|FANCB,MAMMALIANS
DHFR,0.00129282482223659,No,FAAP100|FANCB,MAMMALIANS
DHFRL1,0.00129282482223659,No,FAAP100|FANCB,MAMMALIANS
NDUFS7,0.00129282482223659,No,FAAP100|FANCB,MAMMALIANS
DAP3,0.00129282482223659,No,FAAP100|FANCB,MAMMALIANS
ISY1,0.00129282482223659,No,FAAP100|FANCB,MAMMALIANS
ISY1-RAB43,0.00129282482223659,No,FAAP100|FANCB,MAMMALIANS
ZC3H10,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
CLPP,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
GRWD1,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
RPLP2,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
P4HB,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
PPP1R27,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
RNASEH2C,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
BABAM1,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
MRPS34,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
JOSD2,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
ENSP00000486289.1,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
SURF1,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
HRC,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
C19orf60,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
CD63,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
EPS8L1,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
NAALADL1,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
FOXA3,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
GPANK1,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
GCDH,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
FA2H,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
TCIRG1,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
IGHMBP2,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
ACOX2,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
GRIP2,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
SLC6A19,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
ACAD11,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
ACE,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
EIF3I,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
SHPK,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
CYP46A1,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
GFI1,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
DNAAF1,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
ABCB8,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
KCNK4,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
UBD,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
GALNT18,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
TMEM80,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
DPH1,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
LZTR1,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
LRP4,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
SEPT4,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
TRIP4,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
UGDH,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
FBXO9,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
PSMD2,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
UXS1,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
CCDC160,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
LYRM5,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
ENSP00000442778.1,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
TRAPPC2,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
ZSCAN4,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
ENSP00000454340.1,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
MPV17L,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
HRH3,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
TTLL8,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
SYT8,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
NARFL,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
STK11,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
CHERP,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
QSOX2,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
DNAH7,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
DNAH3,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
CCDC8,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
C2CD4D,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
CACNA1I,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
ZBED4,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
JUNB,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
JUN,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
JUND,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
SPRYD7,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
VAMP8,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
GAS8,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
EXOSC5,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
LENG1,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
SMPD2,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
IVD,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
NOC2L,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
UBALD2,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
CHAT,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
ALDH16A1,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
ENSP00000472465.1,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
ENSP00000488985.1,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
SARS2,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
CCDC102A,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
TBCB,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
TACO1,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
SYVN1,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
OSBP,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
STK10,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
JAG1,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
TMCO4,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
RRP1,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
MAP3K10,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
MSH6,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
PGRMC1,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
ATOH8,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
PGRMC2,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
URM1,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
YIF1A,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
YIF1B,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
EXT2,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
TBC1D2,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
BRMS1,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
CARS2,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
LETM1,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
ASNA1,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
CD151,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
RRP1B,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
MPI,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
PQLC3,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
SLC3A2,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
UNG,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
CARKD,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
MLF2,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
SKOR1,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
POLR2F,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
SLC25A45,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
FAM58A,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
COL4A1,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
CCDC86,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
POLR1A,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
UQCRQ,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
KDM4B,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
ROGDI,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
NOTCH1,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
OVOL1,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
SP6,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
CRACR2B,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
ULK1,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
SLC6A7,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
ASL,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
GPR152,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
CD82,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
TMEM14C,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
SHANK1,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
SEC22B,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
SVOP,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
MKRN2OS,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
PRRT4,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
FOXO4,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
CAPN1,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
KLHL29,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
ATP2B2,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
BOP1,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
ZIC1,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
DPF1,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
SPR,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
CTSH,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
PKP1,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
ABHD13,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
CLEC4G,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
ATP9A,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
TBC1D2B,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
TRMT61A,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
CDCP2,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
AMPD2,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
GPAA1,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
SDK1,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
SDK2,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
ELAC2,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
NCKIPSD,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
TTC34,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
LAMB2,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
CREBZF,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
SMAD6,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
EGR4,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
FAH,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
SLC1A3,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
PLXNA3,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
ENSP00000475641.1,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
TEX261,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
DGCR14,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
ACAD9,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
TBCD,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
FOXK1,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
DDOST,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
GTPBP4,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
ANKRD23,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
LTK,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
MLXIP,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
NPEPL1,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
PDE2A,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
HSPG2,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
SLC37A2,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
EXOSC2,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
SUDS3,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
RPL31,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
PDIA5,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
ILK,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
PPOX,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
SNAI1,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
ACOX3,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
FAM173A,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
ACSS1,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
CARS,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
FDXR,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
PPP1R11,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
CANT1,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
TTYH1,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
SGSH,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
UNC13D,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
CHCHD10,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
CCNA2,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
CHCHD2,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
ALG2,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
HSD17B14,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
CNGB1,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
RPS5,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
SRPK3,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
GPR4,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
KCNJ3,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
CIB1,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
MAPKAPK5,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
HEMK1,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
RARS,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
EIF6,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
FAM210B,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
MAGIX,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
ZNF784,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
PLAA,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
GALNT11,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
RNF146,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
SF3B2,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
CUL1,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
ENPEP,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
TBC1D10C,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
NOP2,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
ATP6V0B,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
PAK6,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
APOA1BP,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
NUDT16,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
EIF4EBP1,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
RAF1,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
TBX15,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
EXOSC7,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
MRPL3,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
PCCB,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
PCBP1,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
ANKFY1,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
CLK2,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
ENTPD6,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
BANF1,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
CLK3,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
CPT1B,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
MAP3K9,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
ANGPTL4,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
ZNF777,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
MYO1E,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
UROS,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
LACE1,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
EMID1,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
SH2D3A,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
SCO2,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
PAX1,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
BCAS4,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
CDKN2D,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
KLF7,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
SFXN2,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
CHRNG,0.00159489633173844,No,FAAP100|FANCB,MAMMALIANS
TBCC,0.00102520290474156,No,FAAP20|APITD1|FANCM|FAAP24|FANCE|FANCD2|FANCC|FANCG|FANCL|FANCF|BRIP1|STRA13,MAMMALIANS
OXCT1,0.00102520290474156,No,FAAP20|APITD1|FANCM|FAAP24|FANCE|FANCD2|FANCC|FANCG|FANCL|FANCF|BRIP1|STRA13,MAMMALIANS
OXCT2,0.00102520290474156,No,FAAP20|APITD1|FANCM|FAAP24|FANCE|FANCD2|FANCC|FANCG|FANCL|FANCF|BRIP1|STRA13,MAMMALIANS
SNAP91,0.00102520290474156,No,FAAP20|APITD1|FANCM|FAAP24|FANCE|FANCD2|FANCC|FANCG|FANCL|FANCF|BRIP1|STRA13,MAMMALIANS
CAPN11,0.00102520290474156,No,FAAP20|APITD1|FANCM|FAAP24|FANCE|FANCD2|FANCC|FANCG|FANCL|FANCF|BRIP1|STRA13,MAMMALIANS
AHSA1,0.00102520290474156,No,FAAP20|APITD1|FANCM|FAAP24|FANCE|FANCD2|FANCC|FANCG|FANCL|FANCF|BRIP1|STRA13,MAMMALIANS
MTHFD1L,0.00102520290474156,No,FAAP20|APITD1|FANCM|FAAP24|FANCE|FANCD2|FANCC|FANCG|FANCL|FANCF|BRIP1|STRA13,MAMMALIANS
DLG1,0.00102520290474156,No,FAAP20|APITD1|FANCM|FAAP24|FANCE|FANCD2|FANCC|FANCG|FANCL|FANCF|BRIP1|STRA13,MAMMALIANS
PANK3,0.00102520290474156,No,FAAP20|APITD1|FANCM|FAAP24|FANCE|FANCD2|FANCC|FANCG|FANCL|FANCF|BRIP1|STRA13,MAMMALIANS
PAK3,0.00102520290474156,No,FAAP20|APITD1|FANCM|FAAP24|FANCE|FANCD2|FANCC|FANCG|FANCL|FANCF|BRIP1|STRA13,MAMMALIANS
SLC25A13,0.00102520290474156,No,FAAP20|APITD1|FANCM|FAAP24|FANCE|FANCD2|FANCC|FANCG|FANCL|FANCF|BRIP1|STRA13,MAMMALIANS
CNIH1,0.00102520290474156,No,FAAP20|APITD1|FANCM|FAAP24|FANCE|FANCD2|FANCC|FANCG|FANCL|FANCF|BRIP1|STRA13,MAMMALIANS
RGS6,0.00102520290474156,No,FAAP20|APITD1|FANCM|FAAP24|FANCE|FANCD2|FANCC|FANCG|FANCL|FANCF|BRIP1|STRA13,MAMMALIANS
RGS7,0.00102520290474156,No,FAAP20|APITD1|FANCM|FAAP24|FANCE|FANCD2|FANCC|FANCG|FANCL|FANCF|BRIP1|STRA13,MAMMALIANS
STX12,0.00102520290474156,No,FAAP20|APITD1|FANCM|FAAP24|FANCE|FANCD2|FANCC|FANCG|FANCL|FANCF|BRIP1|STRA13,MAMMALIANS
HIATL1,0.00102520290474156,No,FAAP20|APITD1|FANCM|FAAP24|FANCE|FANCD2|FANCC|FANCG|FANCL|FANCF|BRIP1|STRA13,MAMMALIANS
HMGCL,0.00102520290474156,No,FAAP20|APITD1|FANCM|FAAP24|FANCE|FANCD2|FANCC|FANCG|FANCL|FANCF|BRIP1|STRA13,MAMMALIANS
STT3A,0.00102520290474156,No,FAAP20|APITD1|FANCM|FAAP24|FANCE|FANCD2|FANCC|FANCG|FANCL|FANCF|BRIP1|STRA13,MAMMALIANS
ABHD5,0.00102520290474156,No,FAAP20|APITD1|FANCM|FAAP24|FANCE|FANCD2|FANCC|FANCG|FANCL|FANCF|BRIP1|STRA13,MAMMALIANS
EXOSC10,0.00102520290474156,No,FAAP20|APITD1|FANCM|FAAP24|FANCE|FANCD2|FANCC|FANCG|FANCL|FANCF|BRIP1|STRA13,MAMMALIANS
HADHB,0.00102520290474156,No,FAAP20|APITD1|FANCM|FAAP24|FANCE|FANCD2|FANCC|FANCG|FANCL|FANCF|BRIP1|STRA13,MAMMALIANS
TMED5,0.00102520290474156,No,FAAP20|APITD1|FANCM|FAAP24|FANCE|FANCD2|FANCC|FANCG|FANCL|FANCF|BRIP1|STRA13,MAMMALIANS
NDUFAF5,0.00102520290474156,No,FAAP20|APITD1|FANCM|FAAP24|FANCE|FANCD2|FANCC|FANCG|FANCL|FANCF|BRIP1|STRA13,MAMMALIANS
APIP,0.00102520290474156,No,FAAP20|APITD1|FANCM|FAAP24|FANCE|FANCD2|FANCC|FANCG|FANCL|FANCF|BRIP1|STRA13,MAMMALIANS
OXA1L,0.00102520290474156,No,FAAP20|APITD1|FANCM|FAAP24|FANCE|FANCD2|FANCC|FANCG|FANCL|FANCF|BRIP1|STRA13,MAMMALIANS
DHTKD1,0.00102520290474156,No,FAAP20|APITD1|FANCM|FAAP24|FANCE|FANCD2|FANCC|FANCG|FANCL|FANCF|BRIP1|STRA13,MAMMALIANS
